step_time,radius,diffusion_coef,tx_count,tx_centers,molecule_counts,rx_center,from,"first_rotations(x,y,z)","second_rotations(x,y,z)"
9.999999974752427e-07,5,79.4000015258789,2,"[[5.020333512577237, 6.201027150302197, 1.3938762646163982], [-1.8308932291916171, -1.2516706298597824, 8.545581358280094]]","[10000, 10000]","[0, 0, 0]","[2811, 2916]","[273.72113037109375, 189.9097900390625, 231.0064697265625]","[93.28392791748047, 284.549072265625, 214.35804748535156]"
9.999999974752427e-07,5,79.4000015258789,2,"[[3.491547772938341, -12.04115788500773, 4.627330774145975], [-2.1254089477669695, -1.2455188001861908, -8.362477291654645]]","[10000, 10000]","[0, 0, 0]","[2494, 1262]","[230.40402221679688, 200.25856018066406, 106.17045593261719]","[34.814151763916016, 106.41423797607422, 30.370887756347656]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-1.8265775321851712, 6.352687037494063, 5.03836503721901], [4.99119956136346, -5.546519788443301, 11.557618366622762]]","[10000, 10000]","[0, 0, 0]","[996, 2592]","[355.2557067871094, 217.31558227539062, 286.04144287109375]","[100.82833862304688, 302.8464050292969, 311.9833984375]"
9.999999974752427e-07,5,79.4000015258789,2,"[[7.468294453177391, 2.3421333084557734, 5.704102189751751], [8.143120640776877, -4.367020026073149, -3.440398361143877]]","[10000, 10000]","[0, 0, 0]","[356, 742]","[9.311063766479492, 216.083740234375, 197.41195678710938]","[38.662864685058594, 20.421781539916992, 331.79608154296875]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-7.870794413069054, -0.9034507551459761, 9.053727077446032], [8.543393237631442, -2.7947041914635475, -6.636546860004433]]","[10000, 10000]","[0, 0, 0]","[585, 1014]","[239.8131103515625, 311.1875915527344, 186.5480499267578]","[299.3941650390625, 36.438690185546875, 341.8861083984375]"
9.999999974752427e-07,5,79.4000015258789,2,"[[3.5877795494916462, -0.6802723190145766, 6.769559412958782], [-10.607259769125454, 1.9006677624556911, 5.494081809923188]]","[10000, 10000]","[0, 0, 0]","[395, 2302]","[174.38662719726562, 298.34375, 349.2637023925781]","[179.703369140625, 332.9859313964844, 169.8412322998047]"
9.999999974752427e-07,5,79.4000015258789,2,"[[7.594503389036867, 6.047002724425778, -2.874226736622997], [-0.3517472881197218, 0.7263771730882392, -6.29010419258397]]","[10000, 10000]","[0, 0, 0]","[1656, 1137]","[356.1985168457031, 16.492538452148438, 38.52799987792969]","[267.495361328125, 82.68851470947266, 115.83853149414062]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-9.497846730048307, -0.053786128514673216, -7.61302396634477], [-4.652009764377399, -3.4602300385248124, -1.9144188641285456]]","[10000, 10000]","[0, 0, 0]","[2405, 2933]","[53.55564498901367, 141.28643798828125, 0.3244614601135254]","[209.2490234375, 161.7268829345703, 36.64238739013672]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.422957480510802, -2.1388242330024987, -4.755579541615718], [1.9986932231478058, 1.1326610320433825, -7.143595977448073]]","[10000, 10000]","[0, 0, 0]","[164, 2458]","[37.79556655883789, 118.37755584716797, 123.63578033447266]","[347.04791259765625, 72.17262268066406, 29.54026222229004]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.20696628661013874, -2.1823183364882173, -7.605802018113954], [-3.8739631621497654, -4.492442039769324, 9.604847252551066]]","[10000, 10000]","[0, 0, 0]","[3167, 490]","[261.3221740722656, 73.92219543457031, 264.5823974609375]","[137.40396118164062, 238.29995727539062, 49.227848052978516]"
